time	V(n002)	V(n003)
6.149569064167472e-04	7.977627e+00	7.500000e+00
6.178865939167472e-04	7.040983e+00	7.500000e+00
6.198397189167472e-04	6.415410e+00	7.500000e+00
6.217928439167472e-04	5.788964e+00	7.500000e+00
6.237459689167472e-04	5.161644e+00	7.500000e+00
6.256990939167472e-04	4.533450e+00	7.500000e+00
6.276522189167472e-04	3.904382e+00	7.500000e+00
6.296053439167472e-04	3.274441e+00	7.500000e+00
6.315584689167472e-04	2.643625e+00	7.500000e+00
6.351857010596043e-04	1.471784e+00	7.500000e+00
6.388129332024615e-04	2.996033e-01	7.500000e+00
6.424401653453186e-04	-8.729164e-01	7.500000e+00
6.460673974881758e-04	-2.045775e+00	7.500000e+00
6.496946296310329e-04	-3.218973e+00	7.500000e+00
6.533218617738901e-04	-4.392510e+00	7.500000e+00
6.569490939167472e-04	-5.566387e+00	7.500000e+00
6.813631564167472e-04	-1.346573e+01	7.500000e+00
6.823397189167472e-04	-1.373050e+01	7.500000e+00
6.833162814167472e-04	-1.386382e+01	7.500000e+00
6.842928439167472e-04	-1.388901e+01	7.500000e+00
7.000010000000000e-04	-1.388938e+01	7.500000e+00
7.000019999999999e-04	-1.395736e+01	-7.500000e+00
7.000021438487379e-04	-1.394773e+01	-7.500000e+00
7.000022876974758e-04	-1.392412e+01	-7.500000e+00
7.000024315462137e-04	-1.388652e+01	-7.500000e+00
7.000025753949518e-04	-1.383495e+01	-7.500000e+00
7.000027192436897e-04	-1.376939e+01	-7.500000e+00
7.000028630924276e-04	-1.368986e+01	-7.500000e+00
7.000030069411656e-04	-1.359634e+01	-7.500000e+00
7.000040069411656e-04	-1.328769e+01	-7.500000e+00
7.000050069411656e-04	-1.308360e+01	-7.500000e+00
7.000061322805999e-04	-1.299433e+01	-7.500000e+00
7.000061555703982e-04	-1.299612e+01	-7.500000e+00
7.000070006573685e-04	-1.312854e+01	-7.500000e+00
7.000078457443386e-04	-1.324562e+01	-7.500000e+00
7.000086908313088e-04	-1.334735e+01	-7.500000e+00
7.000095359182790e-04	-1.343374e+01	-7.500000e+00
7.000103810052492e-04	-1.350479e+01	-7.500000e+00
7.000112260922193e-04	-1.356049e+01	-7.500000e+00
7.000120711791896e-04	-1.360085e+01	-7.500000e+00
7.000180333675777e-04	-1.381733e+01	-7.500000e+00
7.000262222509459e-04	-1.392144e+01	-7.500000e+00
7.000521233157433e-04	-1.394690e+01	-7.500000e+00
7.001340488028277e-04	-1.392316e+01	-7.500000e+00
7.002238836606824e-04	-1.389357e+01	-7.500000e+00
7.004711956836218e-04	-1.381255e+01	-7.500000e+00
7.028455313045841e-04	-1.304390e+01	-7.500000e+00
7.052198669255464e-04	-1.227630e+01	-7.500000e+00
7.075942025465087e-04	-1.150974e+01	-7.500000e+00
7.099685381674711e-04	-1.074423e+01	-7.500000e+00
7.123428737884335e-04	-9.979761e+00	-7.500000e+00
7.147172094093958e-04	-9.216339e+00	-7.500000e+00
7.170915450303581e-04	-8.453963e+00	-7.500000e+00
7.200212325303581e-04	-7.516744e+00	-7.500000e+00
7.229509200303581e-04	-6.579734e+00	-7.500000e+00
7.254620807446438e-04	-5.773652e+00	-7.500000e+00
7.279732414589295e-04	-4.966572e+00	-7.500000e+00
7.304844021732152e-04	-4.158493e+00	-7.500000e+00
7.329955628875010e-04	-3.349415e+00	-7.500000e+00
7.355067236017867e-04	-2.539340e+00	-7.500000e+00
7.380178843160724e-04	-1.728266e+00	-7.500000e+00
7.405290450303581e-04	-9.161929e-01	-7.500000e+00
7.429006968160724e-04	-1.495350e-01	-7.500000e+00
7.452723486017867e-04	6.172426e-01	-7.500000e+00
7.476440003875010e-04	1.384140e+00	-7.500000e+00
7.500156521732152e-04	2.151157e+00	-7.500000e+00
7.523873039589295e-04	2.918293e+00	-7.500000e+00
7.547589557446438e-04	3.685549e+00	-7.500000e+00
7.571306075303581e-04	4.452924e+00	-7.500000e+00
7.854509200303581e-04	1.360016e+01	-7.500000e+00
7.864274825303581e-04	1.381196e+01	-7.500000e+00
7.874040450303581e-04	1.388592e+01	-7.500000e+00
7.999999999999999e-04	1.388938e+01	-7.500000e+00
8.000000044515624e-04	1.388975e+01	-7.433227e+00
8.000000046578125e-04	1.388976e+01	-7.430133e+00
8.000000049328124e-04	1.388978e+01	-7.426008e+00
8.000000054828125e-04	1.388982e+01	-7.417758e+00
8.000000065828125e-04	1.388989e+01	-7.401258e+00
8.000000087828124e-04	1.389001e+01	-7.368258e+00
8.000000131828124e-04	1.389026e+01	-7.302258e+00
8.000009999999999e-04	1.395677e+01	7.500000e+00
8.000010021327369e-04	1.395667e+01	7.500000e+00
8.000010026659210e-04	1.395665e+01	7.500000e+00
8.000010027992171e-04	1.395664e+01	7.500000e+00
8.000010028325411e-04	1.395664e+01	7.500000e+00
8.000010028991892e-04	1.395664e+01	7.500000e+00
8.000010029158512e-04	1.395664e+01	7.500000e+00
8.000010029491752e-04	1.395664e+01	7.500000e+00
8.000010029575063e-04	1.395664e+01	7.500000e+00
8.000010029741683e-04	1.395664e+01	7.500000e+00
8.000010030074923e-04	1.395664e+01	7.500000e+00
8.000010030741404e-04	1.395664e+01	7.500000e+00
8.000010037225429e-04	1.395663e+01	7.500000e+00
8.000010039666836e-04	1.395663e+01	7.500000e+00
8.000010040074498e-04	1.395663e+01	7.500000e+00
8.000010040482159e-04	1.395663e+01	7.500000e+00
