Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,-8e-07,
Sample Interval,4e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,10
Vertical Position,-0.04,-0.06
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.8088e-04,7.42344,2.74375
-1.8084e-04,7.44922,2.77031
-1.8080e-04,7.45859,2.76875
-1.8076e-04,7.48594,2.73281
-1.8072e-04,7.43516,2.74219
-1.8068e-04,7.46484,2.74844
-1.8064e-04,7.42344,2.65313
-1.8060e-04,7.46563,2.70625
-1.8056e-04,7.49453,2.67188
-1.8052e-04,7.43516,2.61875
-1.8048e-04,7.44688,2.53594
-1.8044e-04,7.44453,2.59688
-1.8040e-04,7.44844,2.51406
-1.8036e-04,7.42813,2.43281
-1.8032e-04,7.43984,2.43594
-1.8028e-04,7.47266,2.44375
-1.8024e-04,7.46719,2.49688
-1.8020e-04,7.49297,2.42031
-1.8016e-04,7.42109,2.375
-1.8012e-04,7.46016,2.32969
-1.8008e-04,7.42656,2.35781
-1.8004e-04,7.40469,2.275
-1.8000e-04,7.47031,2.28906
-1.7996e-04,7.43828,2.25781
-1.7992e-04,7.46094,2.19375
-1.7988e-04,7.44844,2.16563
-1.7984e-04,7.43672,2.14531
-1.7980e-04,7.42031,2.22656
-1.7976e-04,7.40313,2.15
-1.7972e-04,7.47734,2.10938
-1.7968e-04,7.46406,2.15938
-1.7964e-04,7.48516,2.04219
-1.7960e-04,7.42734,2.05313
-1.7956e-04,7.42422,2.0125
-1.7952e-04,7.46953,2.06094
-1.7948e-04,7.44219,1.96563
-1.7944e-04,7.48203,1.95156
-1.7940e-04,7.45781,1.95313
-1.7936e-04,7.44766,1.88125
-1.7932e-04,7.44375,1.81875
-1.7928e-04,7.44922,1.86406
-1.7924e-04,7.42344,1.90781
-1.7920e-04,7.45703,1.85313
-1.7916e-04,7.44766,1.7625
-1.7912e-04,7.45781,1.79844
-1.7908e-04,7.45234,1.76563
-1.7904e-04,7.43984,1.68906
-1.7900e-04,7.42891,1.68438
-1.7896e-04,7.44375,1.75625
-1.7892e-04,7.47109,1.66875
-1.7888e-04,7.44297,1.67813
-1.7884e-04,7.43125,1.60156
-1.7880e-04,7.45313,1.59219
-1.7876e-04,7.44531,1.56719
-1.7872e-04,7.43359,1.50938
-1.7868e-04,7.45625,1.525
-1.7864e-04,7.43906,1.475
-1.7860e-04,7.45078,1.52188
-1.7856e-04,7.41719,1.43281
-1.7852e-04,7.45469,1.46563
-1.7848e-04,7.42188,1.36719
-1.7844e-04,7.37813,1.41406
-1.7840e-04,7.43516,1.35938
-1.7836e-04,7.43594,1.39844
-1.7832e-04,7.43906,1.32188
-1.7828e-04,7.44688,1.32344
-1.7824e-04,7.41406,1.33281
-1.7820e-04,7.42422,1.28594
-1.7816e-04,7.40313,1.24375
-1.7812e-04,7.42422,1.19375
-1.7808e-04,7.43984,1.25156
-1.7804e-04,7.46406,1.175
-1.7800e-04,7.42656,1.18906
-1.7796e-04,7.45156,1.2375
-1.7792e-04,7.45859,1.1125
-1.7788e-04,7.39531,1.08438
-1.7784e-04,7.41172,1.075
-1.7780e-04,7.40938,0.979688
-1.7776e-04,7.4375,1.10625
-1.7772e-04,7.42031,0.990625
-1.7768e-04,7.42422,0.960938
-1.7764e-04,7.42656,1
-1.7760e-04,7.46563,0.889063
-1.7756e-04,7.42891,0.928125
-1.7752e-04,7.41641,0.878125
-1.7748e-04,7.39531,0.89375
-1.7744e-04,7.40625,0.814063
-1.7740e-04,7.37734,0.814063
-1.7736e-04,7.46094,0.728125
-1.7732e-04,7.38594,0.68125
-1.7728e-04,7.40234,0.751563
-1.7724e-04,7.42344,0.695313
-1.7720e-04,7.45,0.682813
-1.7716e-04,7.4625,0.673438
-1.7712e-04,7.42266,0.654688
-1.7708e-04,7.41563,0.69375
-1.7704e-04,7.41797,0.61875
-1.7700e-04,7.45,0.623438
-1.7696e-04,7.41016,0.63125
-1.7692e-04,7.39453,0.642188
-1.7688e-04,7.41953,0.58125
-1.7684e-04,7.38203,0.596875
-1.7680e-04,7.39531,0.584375
-1.7676e-04,7.41875,0.545313
-1.7672e-04,7.40781,0.55
-1.7668e-04,7.41094,0.565625
-1.7664e-04,7.40859,0.54375
-1.7660e-04,7.43203,0.542188
-1.7656e-04,7.44375,0.484375
-1.7652e-04,7.43203,0.4875
-1.7648e-04,7.4,0.490625
-1.7644e-04,7.40781,0.482813
-1.7640e-04,7.425,0.446875
-1.7636e-04,7.38984,0.432813
-1.7632e-04,7.37969,0.392188
-1.7628e-04,7.4,0.3875
-1.7624e-04,7.36953,0.253125
-1.7620e-04,7.42031,0.309375
-1.7616e-04,7.42422,0.321875
-1.7612e-04,7.41797,0.260938
-1.7608e-04,7.38047,0.271875
-1.7604e-04,7.40156,0.234375
-1.7600e-04,7.40781,0.25625
-1.7596e-04,7.40391,0.171875
-1.7592e-04,7.40156,0.185938
-1.7588e-04,7.40547,0.1375
-1.7584e-04,7.42266,0.10625
-1.7580e-04,7.39766,0.157813
-1.7576e-04,7.375,0.0546875
-1.7572e-04,7.38359,0.0546875
-1.7568e-04,7.375,0.03125
-1.7564e-04,7.39375,0.0453125
-1.7560e-04,7.34766,0.053125
-1.7556e-04,7.40156,-0.0296875
-1.7552e-04,7.38906,-0.0328125
-1.7548e-04,7.39453,-0.059375
-1.7544e-04,7.36484,-0.090625
-1.7540e-04,7.37734,-0.0421875
-1.7536e-04,7.39766,-0.125
-1.7532e-04,7.40469,-0.11875
-1.7528e-04,7.37109,-0.117188
-1.7524e-04,7.39219,-0.282812
-1.7520e-04,7.36328,-0.207812
-1.7516e-04,7.39141,-0.260937
-1.7512e-04,7.40625,-0.271875
-1.7508e-04,7.38594,-0.309375
-1.7504e-04,7.38438,-0.328125
-1.7500e-04,7.38828,-0.31875
-1.7496e-04,7.37344,-0.353125
-1.7492e-04,7.37578,-0.3875
-1.7488e-04,7.37266,-0.38125
-1.7484e-04,7.36563,-0.435937
-1.7480e-04,7.37578,-0.470312
-1.7476e-04,7.38672,-0.504687
-1.7472e-04,7.38125,-0.554688
-1.7468e-04,7.36641,-0.534375
-1.7464e-04,7.39688,-0.565625
-1.7460e-04,7.39141,-0.525
-1.7456e-04,7.34453,-0.68125
-1.7452e-04,7.37656,-0.553125
-1.7448e-04,7.39766,-0.65
