time	V(vd)	V(vd)*Id(M1)	Id(M1)
1.028077857142738e-06	1.967154e+00	9.834237e-02	4.999222e-02
1.028263571428449e-06	1.936511e+00	9.680997e-02	4.999196e-02
1.028449285714161e-06	1.905868e+00	9.527755e-02	4.999169e-02
1.028634999999873e-06	1.875225e+00	9.374513e-02	4.999140e-02
1.028784999999870e-06	1.850475e+00	9.250739e-02	4.999116e-02
1.028934999999868e-06	1.825725e+00	9.126962e-02	4.999089e-02
1.029084999999866e-06	1.800975e+00	9.003184e-02	4.999061e-02
1.029234999999864e-06	1.776225e+00	8.879403e-02	4.999031e-02
1.029384999999862e-06	1.751475e+00	8.755620e-02	4.998998e-02
1.029534999999859e-06	1.726725e+00	8.631836e-02	4.998964e-02
1.029684999999857e-06	1.701975e+00	8.508050e-02	4.998928e-02
1.029806428571284e-06	1.681939e+00	8.407841e-02	4.998897e-02
1.029927857142711e-06	1.661904e+00	8.307629e-02	4.998864e-02
1.030049285714138e-06	1.641868e+00	8.207415e-02	4.998828e-02
1.030170714285564e-06	1.621832e+00	8.107198e-02	4.998790e-02
1.030292142856991e-06	1.601796e+00	8.006978e-02	4.998749e-02
1.030413571428418e-06	1.581761e+00	7.906757e-02	4.998706e-02
1.030534999999845e-06	1.561725e+00	7.806533e-02	4.998660e-02
1.030632142856986e-06	1.545696e+00	7.726352e-02	4.998622e-02
1.030729285714128e-06	1.529668e+00	7.646167e-02	4.998580e-02
1.030826428571269e-06	1.513639e+00	7.565979e-02	4.998535e-02
1.030923571428410e-06	1.497611e+00	7.485788e-02	4.998487e-02
1.031020714285552e-06	1.481582e+00	7.405594e-02	4.998436e-02
1.031117857142693e-06	1.465554e+00	7.325397e-02	4.998382e-02
1.031214999999835e-06	1.449525e+00	7.245198e-02	4.998326e-02
1.031293571428405e-06	1.436561e+00	7.180328e-02	4.998277e-02
1.031372142856975e-06	1.423596e+00	7.115454e-02	4.998224e-02
1.031450714285545e-06	1.410632e+00	7.050575e-02	4.998167e-02
1.031529285714116e-06	1.397668e+00	6.985693e-02	4.998107e-02
1.031607857142686e-06	1.384704e+00	6.920807e-02	4.998042e-02
1.031686428571256e-06	1.371739e+00	6.855917e-02	4.997974e-02
1.031764999999826e-06	1.358775e+00	6.791024e-02	4.997902e-02
1.031827857142683e-06	1.348404e+00	6.739106e-02	4.997840e-02
1.031890714285539e-06	1.338032e+00	6.687182e-02	4.997774e-02
