time	V(out)	V(vin)
2.926071428571816e-03	3.640853e-01	1.447355e-01
2.936357142857532e-03	3.971266e-01	1.389052e-01
2.946642857143247e-03	4.285042e-01	1.329254e-01
2.956928571428963e-03	4.582181e-01	1.267964e-01
2.967214285714679e-03	4.862685e-01	1.205179e-01
2.977500000000394e-03	5.126551e-01	1.140901e-01
2.985214285714681e-03	5.310812e-01	1.092484e-01
2.992928571428968e-03	5.483510e-01	1.044132e-01
3.000642857143254e-03	5.644645e-01	9.958473e-02
3.008357142857541e-03	5.794216e-01	9.476285e-02
3.016071428571828e-03	5.932225e-01	8.994758e-02
3.023785714286115e-03	6.058671e-01	8.513894e-02
3.031500000000401e-03	6.173555e-01	8.033693e-02
3.036642857143259e-03	6.243195e-01	7.717142e-02
3.041785714286117e-03	6.307278e-01	7.403782e-02
3.046928571428975e-03	6.365803e-01	7.093614e-02
3.052071428571833e-03	6.418770e-01	6.786637e-02
3.057214285714691e-03	6.466180e-01	6.482852e-02
3.062357142857549e-03	6.508032e-01	6.182258e-02
3.067500000000406e-03	6.544327e-01	5.884856e-02
3.068500000000406e-03	6.550702e-01	5.827673e-02
3.079785714286122e-03	6.608760e-01	5.187181e-02
3.091071428571838e-03	6.637710e-01	4.578067e-02
3.102357142857554e-03	6.637551e-01	4.000330e-02
3.113642857143269e-03	6.608285e-01	3.453970e-02
3.124928571428985e-03	6.549910e-01	2.938987e-02
3.136214285714701e-03	6.462427e-01	2.455382e-02
3.147500000000417e-03	6.345836e-01	2.003153e-02
3.156785714286132e-03	6.226043e-01	1.664425e-02
3.166071428571848e-03	6.085267e-01	1.356376e-02
3.175357142857564e-03	5.923506e-01	1.079004e-02
3.184642857143279e-03	5.740762e-01	8.323111e-03
3.193928571428994e-03	5.537033e-01	6.162961e-03
3.203214285714710e-03	5.312321e-01	4.309593e-03
3.212500000000426e-03	5.066624e-01	2.763008e-03
3.223642857143284e-03	4.741091e-01	1.366260e-03
3.234785714286143e-03	4.390809e-01	4.568703e-04
3.245928571429001e-03	4.015778e-01	3.483841e-05
3.257071428571860e-03	3.615999e-01	1.001644e-04
3.268214285714719e-03	3.191472e-01	6.528483e-04
3.279357142857577e-03	2.742196e-01	1.692890e-03
3.290500000000436e-03	2.268171e-01	3.220290e-03
3.295357142857580e-03	2.057468e-01	4.035897e-03
3.300214285714723e-03	1.844380e-01	4.938534e-03
3.305071428571867e-03	1.628907e-01	5.928200e-03
3.309928571429010e-03	1.411049e-01	7.004896e-03
3.314785714286153e-03	1.190806e-01	8.168622e-03
3.319642857143297e-03	9.681783e-02	9.419377e-03
3.324500000000440e-03	7.431652e-02	1.075716e-02
3.326642857143298e-03	6.436420e-02	1.137301e-02
3.328785714286155e-03	5.439196e-02	1.200463e-02
3.330928571429013e-03	4.439980e-02	1.265202e-02
3.333071428571870e-03	3.438772e-02	1.331518e-02
3.335214285714727e-03	2.435572e-02	1.399411e-02
3.337357142857585e-03	1.430380e-02	1.468881e-02
3.339500000000442e-03	4.231966e-03	1.539929e-02
3.342928571429014e-03	-1.192124e-02	1.656888e-02
3.346357142857586e-03	-2.806826e-02	1.777573e-02
3.349785714286158e-03	-4.420912e-02	1.901984e-02
3.353214285714730e-03	-6.034381e-02	2.030122e-02
3.356642857143302e-03	-7.647232e-02	2.161987e-02
3.360071428571874e-03	-9.259467e-02	2.297578e-02
3.363500000000446e-03	-1.087108e-01	2.436896e-02
3.372071428571875e-03	-1.490999e-01	2.803020e-02
3.380642857143305e-03	-1.887043e-01	3.187075e-02
3.389214285714735e-03	-2.275241e-01	3.589061e-02
3.397785714286164e-03	-2.655593e-01	4.008979e-02
3.406357142857594e-03	-3.028100e-01	4.446829e-02
3.414928571429024e-03	-3.392760e-01	4.902610e-02
3.423500000000454e-03	-3.749575e-01	5.376323e-02
3.432928571429026e-03	-4.126786e-01	5.914365e-02
3.442357142857599e-03	-4.483876e-01	6.461842e-02
3.451785714286172e-03	-4.820845e-01	7.018753e-02
3.461214285714744e-03	-5.137692e-01	7.585099e-02
3.470642857143317e-03	-5.434417e-01	8.160879e-02
3.480071428571890e-03	-5.711021e-01	8.746094e-02
3.489500000000462e-03	-5.967504e-01	9.340744e-02
3.496214285714749e-03	-6.134091e-01	9.764029e-02
3.502928571429035e-03	-6.287807e-01	1.018587e-01
3.509642857143322e-03	-6.428651e-01	1.060625e-01
3.516357142857609e-03	-6.556622e-01	1.102519e-01
3.523071428571895e-03	-6.671722e-01	1.144268e-01
3.529785714286182e-03	-6.773951e-01	1.185872e-01
3.536500000000469e-03	-6.863307e-01	1.227331e-01
3.548357142857613e-03	-6.986856e-01	1.300107e-01
3.560214285714757e-03	-7.068964e-01	1.370287e-01
3.572071428571902e-03	-7.109631e-01	1.437872e-01
3.583928571429046e-03	-7.108857e-01	1.502861e-01
3.595785714286191e-03	-7.066642e-01	1.565254e-01
3.607642857143335e-03	-6.982986e-01	1.625052e-01
3.619500000000480e-03	-6.857889e-01	1.682254e-01
3.633928571429053e-03	-6.646434e-01	1.746599e-01
3.648357142857626e-03	-6.388355e-01	1.803811e-01
3.662785714286200e-03	-6.083654e-01	1.853890e-01
3.677214285714773e-03	-5.732331e-01	1.896835e-01
3.691642857143346e-03	-5.334384e-01	1.932647e-01
3.706071428571920e-03	-4.889815e-01	1.961326e-01
3.720500000000493e-03	-4.398623e-01	1.982871e-01
3.730071428571923e-03	-4.057373e-01	1.992172e-01
