time	V(n002)	V(n003)
5.614523532573599e-03	-4.934359e-01	-5.107740e-02
5.634054782573598e-03	-5.615486e-01	-5.782820e-02
5.653586032573598e-03	-6.210505e-01	-6.370921e-02
5.673117282573597e-03	-6.710467e-01	-6.863197e-02
5.692648532573597e-03	-7.107852e-01	-7.252245e-02
5.712179782573597e-03	-7.396684e-01	-7.532211e-02
5.731711032573596e-03	-7.572618e-01	-7.698887e-02
5.751242282573596e-03	-7.633010e-01	-7.749764e-02
5.770773532573595e-03	-7.576952e-01	-7.684077e-02
5.790304782573595e-03	-7.405288e-01	-7.502815e-02
5.809836032573595e-03	-7.120603e-01	-7.208703e-02
5.829367282573594e-03	-6.727179e-01	-6.806166e-02
5.848898532573594e-03	-6.230932e-01	-6.301258e-02
5.868429782573593e-03	-5.639328e-01	-5.701572e-02
5.887961032573593e-03	-4.961265e-01	-5.016130e-02
5.907492282573592e-03	-4.206940e-01	-4.255241e-02
5.927023532573592e-03	-3.387698e-01	-3.430349e-02
5.946554782573592e-03	-2.515860e-01	-2.553861e-02
5.966086032573591e-03	-1.604537e-01	-1.638961e-02
5.985617282573591e-03	-6.674354e-02	-6.994091e-03
6.014914157573590e-03	7.556673e-02	7.251778e-03
6.034445407573590e-03	1.695227e-01	1.664245e-02
6.053976657573589e-03	2.610934e-01	2.578280e-02
6.073507907573589e-03	3.489015e-01	3.453535e-02
6.093039157573588e-03	4.316259e-01	4.276846e-02
6.112570407573588e-03	5.080225e-01	5.035829e-02
6.132101657573588e-03	5.769418e-01	5.719069e-02
6.151632907573587e-03	6.373473e-01	6.316288e-02
6.171164157573587e-03	6.883304e-01	6.818505e-02
6.190695407573586e-03	7.291241e-01	7.218165e-02
6.210226657573586e-03	7.591150e-01	7.509257e-02
6.229757907573586e-03	7.778521e-01	7.687403e-02
6.249289157573585e-03	7.850536e-01	7.749923e-02
6.268820407573585e-03	7.806113e-01	7.695877e-02
6.288351657573584e-03	7.645922e-01	7.526078e-02
6.307882907573584e-03	7.372373e-01	7.243080e-02
6.327414157573583e-03	6.989582e-01	6.851139e-02
6.346945407573583e-03	6.503306e-01	6.356150e-02
6.366476657573583e-03	5.920860e-01	5.765560e-02
6.386007907573582e-03	5.251004e-01	5.088249e-02
6.405539157573582e-03	4.503812e-01	4.334407e-02
6.425070407573581e-03	3.690523e-01	3.515371e-02
6.444601657573581e-03	2.823366e-01	2.643461e-02
6.464132907573581e-03	1.915384e-01	1.731791e-02
6.483664157573580e-03	9.802315e-02	7.940727e-03
6.503195407573580e-03	3.197370e-03	-1.555889e-03
6.522726657573579e-03	-9.151272e-02	-1.102910e-02
6.542257907573579e-03	-1.846826e-01	-2.033643e-02
6.561789157573578e-03	-2.749107e-01	-2.933788e-02
6.581320407573578e-03	-3.608400e-01	-3.789806e-02
6.600851657573578e-03	-4.411776e-01	-4.588821e-02
6.620382907573577e-03	-5.147153e-01	-5.318817e-02
6.639914157573577e-03	-5.803466e-01	-5.968812e-02
6.659445407573576e-03	-6.370845e-01	-6.529032e-02
6.678976657573576e-03	-6.840756e-01	-6.991047e-02
6.698507907573576e-03	-7.206129e-01	-7.347912e-02
6.718039157573575e-03	-7.461472e-01	-7.594258e-02
6.737570407573575e-03	-7.602942e-01	-7.726377e-02
6.757101657573574e-03	-7.628415e-01	-7.742286e-02
6.776632907573574e-03	-7.537507e-01	-7.641743e-02
6.796164157573573e-03	-7.331588e-01	-7.426262e-02
6.815695407573573e-03	-7.013755e-01	-7.099082e-02
6.835226657573573e-03	-6.588790e-01	-6.665125e-02
6.854757907573572e-03	-6.063085e-01	-6.130920e-02
6.874289157573572e-03	-5.444547e-01	-5.504499e-02
6.893820407573571e-03	-4.742479e-01	-4.795285e-02
6.913351657573571e-03	-3.967440e-01	-4.013946e-02
6.932882907573571e-03	-3.131086e-01	-3.172233e-02
6.952414157573570e-03	-2.245995e-01	-2.282807e-02
6.971945407573570e-03	-1.325478e-01	-1.359046e-02
6.991476657573569e-03	-3.833786e-02	-4.148431e-03
7.011007907573569e-03	5.661327e-02	5.355993e-03
7.030539157573568e-03	1.508775e-01	1.477986e-02
7.050070407573568e-03	2.430369e-01	2.398142e-02
7.069601657573568e-03	3.317052e-01	3.282228e-02
7.089132907573567e-03	4.155487e-01	4.116946e-02
7.108664157573567e-03	4.933061e-01	4.889742e-02
7.128195407573566e-03	5.638076e-01	5.588991e-02
7.147726657573566e-03	6.259929e-01	6.204177e-02
7.167257907573566e-03	6.789265e-01	6.726046e-02
7.186789157573565e-03	7.218122e-01	7.146749e-02
7.206320407573565e-03	7.540051e-01	7.459958e-02
7.225851657573564e-03	7.750210e-01	7.660963e-02
7.245382907573564e-03	7.845439e-01	7.746739e-02
7.264914157573563e-03	7.824306e-01	7.715998e-02
7.284445407573563e-03	7.687131e-01	7.569200e-02
7.303976657573563e-03	7.435979e-01	7.308555e-02
7.323507907573562e-03	7.074627e-01	6.937982e-02
7.343039157573562e-03	6.608511e-01	6.463056e-02
7.362570407573561e-03	6.044642e-01	5.890919e-02
7.382101657573561e-03	5.391502e-01	5.230177e-02
7.401632907573561e-03	4.658914e-01	4.490769e-02
7.421164157573560e-03	3.857894e-01	3.683815e-02
7.440695407573560e-03	3.000491e-01	2.821453e-02
7.460226657573559e-03	2.099598e-01	1.916654e-02
7.479757907573559e-03	1.168765e-01	9.830271e-03
7.499289157573558e-03	2.219902e-02	3.461413e-04
7.518820407573558e-03	-7.264853e-02	-9.143194e-03
7.538351657573558e-03	-1.662396e-01	-1.849501e-02
7.557882907573557e-03	-2.571664e-01	-2.756864e-02
7.577414157573557e-03	-3.440612e-01	-3.622761e-02
7.596945407573556e-03	-4.256168e-01	-4.434169e-02
7.616476657573556e-03	-5.006064e-01	-5.178883e-02
7.636007907573556e-03	-5.679021e-01	-5.845701e-02
7.655539157573555e-03	-6.264914e-01	-6.424595e-02
7.675070407573555e-03	-6.754932e-01	-6.906857e-02
7.694601657573554e-03	-7.141705e-01	-7.285233e-02
7.714132907573554e-03	-7.419415e-01	-7.554032e-02
7.733664157573554e-03	-7.583885e-01	-7.709212e-02
7.753195407573553e-03	-7.632644e-01	-7.748438e-02
7.772726657573553e-03	-7.564959e-01	-7.671121e-02
7.792257907573552e-03	-7.381849e-01	-7.478422e-02
7.811789157573552e-03	-7.086069e-01	-7.173241e-02
7.831320407573552e-03	-6.682069e-01	-6.760168e-02
7.850851657573552e-03	-6.175927e-01	-6.245416e-02
7.870382907573551e-03	-5.575254e-01	-5.636727e-02
7.889914157573551e-03	-4.889085e-01	-4.943256e-02
7.909445407573551e-03	-4.127741e-01	-4.175434e-02
7.928976657573550e-03	-3.302670e-01	-3.344810e-02
7.948507907573550e-03	-2.426282e-01	-2.463876e-02
7.968039157573549e-03	-1.511756e-01	-1.545884e-02
7.987570407573549e-03	-5.728478e-02	-6.046400e-03
7.997336032573549e-03	-9.865392e-03	-1.297150e-03
8.016867282573548e-03	8.502957e-02	8.198104e-03
8.036398532573548e-03	1.788102e-01	1.757005e-02
8.055929782573547e-03	2.700659e-01	2.667773e-02
8.075461032573547e-03	3.574239e-01	3.538414e-02
8.094992282573547e-03	4.395701e-01	4.355836e-02
8.114523532573546e-03	5.152689e-01	5.107740e-02
8.134054782573546e-03	5.833815e-01	5.782820e-02
8.153586032573545e-03	6.428835e-01	6.370921e-02
8.173117282573545e-03	6.928796e-01	6.863197e-02
8.192648532573545e-03	7.326181e-01	7.252245e-02
8.212179782573544e-03	7.615011e-01	7.532211e-02
8.231711032573544e-03	7.790945e-01	7.698887e-02
8.251242282573543e-03	7.851336e-01	7.749764e-02
